2024-06-17 12:37:14: Качаем свечи для акции 'ABIO' с таймфреймом D начиная с 2024-05-28 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ABIO с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ABRD'
2024-06-17 12:37:15: Качаем свечи для акции 'ABRD' с таймфреймом D начиная с 2024-05-28 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ABRD с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ACKO'
2024-06-17 12:37:15: Занимаемся акцией 'AFKS'
2024-06-17 12:37:15: Качаем свечи для акции 'AFKS' с таймфреймом D начиная с 2024-05-24 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции AFKS с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'AFLT'
2024-06-17 12:37:15: Качаем свечи для акции 'AFLT' с таймфреймом D начиная с 2024-05-24 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции AFLT с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'AGRO'
2024-06-17 12:37:15: Качаем свечи для акции 'AGRO' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции AGRO с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'AKRN'
2024-06-17 12:37:15: Качаем свечи для акции 'AKRN' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции AKRN с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'ALRS'
2024-06-17 12:37:15: Качаем свечи для акции 'ALRS' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции ALRS с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'AMEZ'
2024-06-17 12:37:15: Качаем свечи для акции 'AMEZ' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции AMEZ с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'APTK'
2024-06-17 12:37:15: Качаем свечи для акции 'APTK' с таймфреймом D начиная с 2024-05-20 00:00:00
2024-06-17 12:37:15: Ошибка от Мосбиржи при получении данных для акции APTK с таймфреймом D. 
Продолжаем сбор данных.
2024-06-17 12:37:15: Занимаемся акцией 'AQUA'
